id,vf,course,trial,left,start,stop,obj_coll,gripper_coll,duration
5,1,Course3_VF,5,1,42796273,42804394,0,0,8121
5,1,Course1,0,1,43469465,43471777,0,0,2312
5,1,Course1,1,1,43475105,43477083,0,0,1978
5,1,Course1,2,1,43479933,43481561,0,0,1628
5,1,Course1,3,1,43484276,43485806,0,0,1530
5,1,Course1,4,1,43488599,43490520,0,0,1921
5,1,Course1,5,1,43493502,43495133,0,0,1631
5,1,Course2,0,1,43498696,43503856,0,0,5160
5,1,Course2,1,1,43506761,43511239,0,1,4478
5,1,Course2,2,1,43513976,43518477,0,0,4501
5,1,Course2,3,1,43521192,43525906,0,0,4714
5,1,Course2,4,1,43528887,43532708,0,0,3821
5,1,Course2,5,1,43535567,43539264,0,0,3697
5,1,Course3,0,1,43542626,43551449,0,0,8823
5,1,Course3,1,1,43554567,43561704,0,1,7137
5,1,Course3,2,1,43564641,43571633,0,2,6992
5,1,Course3,3,1,43574370,43581708,0,0,7338
5,1,Course3,4,1,43584344,43591482,0,1,7138
5,1,Course3,5,1,43594163,43601422,0,1,7259
6,0,Course1,0,1,65153031,65154718,0,0,1687
6,0,Course1,1,1,65163385,65165363,0,0,1978
6,0,Course1,2,1,65171841,65172701,0,0,860
6,0,Course1,3,1,65176643,65177303,0,0,660
6,0,Course1,4,1,65181201,65182429,0,0,1228
6,0,Course1,5,1,65186104,65187109,0,0,1005
6,0,Course2,0,1,65196593,65200167,0,1,3574
6,0,Course2,1,1,65206266,65209147,0,1,2881
6,0,Course2,2,1,65212856,65215726,0,1,2870
6,0,Course2,3,1,65221077,65223913,0,0,2836
6,0,Course2,4,1,65227856,65230615,0,0,2759
6,0,Course2,5,1,65234335,65237239,0,2,2904
6,0,Course3,0,1,65244924,65251704,0,3,6780
6,0,Course3,1,1,65256093,65262471,0,3,6378
6,0,Course3,2,1,65267038,65272143,0,1,5105
6,0,Course3,3,1,65276310,65282029,0,3,5719
6,0,Course3,4,1,65287021,65291668,0,2,4647
6,0,Course3,5,1,65296995,65302223,0,1,5228
6,0,Course1_VF,0,1,65841548,65842530,0,0,982
6,0,Course1_VF,1,1,65845937,65846931,0,0,994
6,0,Course1_VF,2,1,65850605,65851633,0,0,1028
6,0,Course1_VF,3,1,65854951,65855732,0,0,781
6,0,Course1_VF,4,1,65858826,65859575,0,0,749
6,0,Course1_VF,5,1,65863473,65864188,0,0,715
6,0,Course2_VF,0,1,65869851,65873559,0,2,3708
6,0,Course2_VF,1,1,65878273,65881803,0,0,3530
6,0,Course2_VF,2,1,65885879,65889085,0,2,3206
6,0,Course2_VF,3,1,65892481,65895284,0,3,2803
6,0,Course2_VF,4,1,65899584,65902723,0,2,3139
6,0,Course2_VF,5,1,65907035,65910005,0,2,2970
6,0,Course3_VF,0,1,65915579,65921097,0,2,5518
6,0,Course3_VF,1,1,65924863,65929453,0,1,4590
6,0,Course3_VF,2,1,65933160,65937807,0,1,4647
6,0,Course3_VF,3,1,65941214,65945380,0,1,4166
6,0,Course3_VF,4,1,65948719,65953031,2,3,4312
6,0,Course3_VF,5,1,65956963,65963519,0,1,6556
7,1,Course1_VF,0,0,30042532,30045023,0,0,2491
7,1,Course1_VF,1,0,30049459,30051189,0,0,1730
7,1,Course1_VF,2,0,30055678,30057287,0,0,1609
7,1,Course1_VF,3,0,30060549,30061979,0,0,1430
7,1,Course1_VF,4,0,30064827,30066257,0,0,1430
7,1,Course1_VF,5,0,30070289,30071741,0,0,1452
7,1,Course2_VF,0,0,30076432,30081179,0,0,4747
7,1,Course2_VF,1,0,30084675,30088597,0,0,3922
7,1,Course2_VF,2,0,30093533,30097129,0,1,3596
7,1,Course2_VF,3,0,30100648,30105138,0,0,4490
7,1,Course2_VF,4,0,30108222,30112320,0,1,4098
7,1,Course2_VF,5,0,30115448,30120151,0,1,4703
7,1,Course3_VF,0,0,30127834,30138301,0,3,10467
7,1,Course3_VF,1,0,30142511,30149113,0,5,6602
7,1,Course3_VF,2,0,30152620,30161075,0,2,8455
7,1,Course3_VF,3,0,30165118,30179461,0,6,14343
7,1,Course3_VF,4,0,30188475,30200683,0,6,12208
7,1,Course3_VF,5,0,30205362,30213762,0,4,8400
7,1,Course1,0,0,30660021,30661897,0,0,1876
7,1,Course1,1,0,30664020,30665796,0,0,1776
7,1,Course1,2,0,30667828,30669303,0,0,1475
7,1,Course1,3,0,30671492,30673280,0,0,1788
7,1,Course1,4,0,30675380,30677501,0,0,2121
7,1,Course1,5,0,30680474,30682483,0,0,2009
7,1,Course2,0,0,30686796,30692994,0,2,6198
7,1,Course2,1,0,30695418,30702534,0,1,7116
7,1,Course2,2,0,30705147,30710218,0,0,5071
7,1,Course2,3,0,30712150,30717065,0,0,4915
7,1,Course2,4,0,30719388,30723889,0,0,4501
7,1,Course2,5,0,30726592,30733115,0,1,6523
7,1,Course3,0,0,30737349,30743380,0,3,6031
7,1,Course3,1,0,30746799,30752361,0,7,5562
7,1,Course3,2,0,30755555,30762771,2,5,7216
7,1,Course3,3,0,30766300,30772097,0,1,5797
7,1,Course3,4,0,30775247,30780642,0,3,5395
7,1,Course3,5,0,30784205,30792214,0,4,8009
8,0,Course1,0,1,34922418,34924318,0,0,1900
8,0,Course1,1,1,34936146,34937744,0,0,1598
8,0,Course1,2,1,34941776,34943093,0,0,1317
8,0,Course1,3,1,34949069,34950141,0,0,1072
8,0,Course1,4,1,34955000,34956330,0,0,1330
8,0,Course1,5,1,34961267,34962406,0,0,1139
8,0,Course2,0,1,34975820,34979608,0,1,3788
8,0,Course2,1,1,34986868,34991391,0,1,4523
8,0,Course2,2,1,34995032,34999479,0,0,4447
8,0,Course2,3,1,35002538,35006225,0,1,3687
8,0,Course2,4,1,35010022,35016746,0,1,6724
8,0,Course2,5,1,35020387,35024409,0,1,4022
8,0,Course3,0,1,35038147,35045061,0,1,6914
8,0,Course3,1,1,35050266,35055337,0,6,5071
8,0,Course3,2,1,35060531,35068898,0,4,8367
8,0,Course3,3,1,35075822,35083630,0,2,7808
8,0,Course3,4,1,35086993,35092588,0,2,5595
8,0,Course3,5,1,35096599,35103356,0,4,6757
8,0,Course1_VF,0,1,35676289,35677663,0,0,1374
8,0,Course1_VF,1,1,35681304,35682365,0,0,1061
8,0,Course1_VF,2,1,35685369,35686196,0,0,827
8,0,Course1_VF,3,1,35689224,35690128,0,0,904
8,0,Course1_VF,4,1,35693076,35693992,0,0,916
8,0,Course1_VF,5,1,35702056,35702660,0,0,604
8,0,Course2_VF,0,1,35712322,35716343,0,2,4021
8,0,Course2_VF,1,1,35719364,35733421,0,1,14057
8,0,Course2_VF,2,1,35737319,35742379,0,1,5060
8,0,Course2_VF,3,1,35745462,35750813,0,2,5351
8,0,Course2_VF,4,1,35753839,35757603,0,0,3764
8,0,Course2_VF,5,1,35760419,35765368,0,1,4949
8,0,Course3_VF,0,1,35771152,35775899,2,6,4747
8,0,Course3_VF,1,1,35782512,35790856,0,2,8344
8,0,Course3_VF,2,1,35794441,35798741,0,7,4300
8,0,Course3_VF,3,1,35803489,35810950,0,1,7461
8,0,Course3_VF,4,1,35814882,35825157,0,0,10275
8,0,Course3_VF,5,1,35830373,35837958,0,1,7585
9,1,Course1_VF,0,1,40207976,40208870,0,0,894
9,1,Course1_VF,1,1,40213718,40214443,0,2,725
9,1,Course1_VF,2,1,40217907,40218968,0,1,1061
9,1,Course1_VF,3,1,40221815,40222642,0,1,827
9,1,Course1_VF,4,1,40225903,40226954,0,1,1051
9,1,Course1_VF,5,1,40230170,40233186,0,1,3016
9,1,Course2_VF,0,1,40237174,40240626,0,0,3452
9,1,Course2_VF,1,1,40243753,40246557,0,3,2804
9,1,Course2_VF,2,1,40249718,40252856,0,1,3138
9,1,Course2_VF,3,1,40255895,40258934,0,1,3039
9,1,Course2_VF,4,1,40262238,40265198,0,1,2960
9,1,Course2_VF,5,1,40268225,40277921,0,0,9696
9,1,Course3_VF,0,1,40281395,40286298,0,5,4903
9,1,Course3_VF,1,1,40290989,40293938,1,5,2949
9,1,Course3_VF,2,1,40297087,40302181,0,3,5094
9,1,Course3_VF,3,1,40305108,40310570,0,3,5462
9,1,Course3_VF,4,1,40313630,40317797,0,7,4167
9,1,Course3_VF,5,1,40320823,40328219,0,1,7396
9,1,Course1,0,1,40801518,40802758,0,0,1240
9,1,Course1,1,1,40805405,40806411,0,0,1006
9,1,Course1,2,1,40808856,40810543,0,0,1687
9,1,Course1,3,1,40813134,40813905,0,0,771
9,1,Course1,4,1,40816284,40817167,0,0,883
9,1,Course1,5,1,40819601,40820439,0,1,838
9,1,Course2,0,1,40823645,40826940,0,0,3295
9,1,Course2,1,1,40836311,40839137,0,1,2826
9,1,Course2,2,1,40842007,40845157,0,2,3150
9,1,Course2,3,1,40847749,40850798,0,1,3049
9,1,Course2,4,1,40853233,40857522,0,2,4289
9,1,Course2,5,1,40860225,40862816,0,3,2591
9,1,Course3,0,1,40866391,40873617,0,2,7226
9,1,Course3,1,1,40876556,40882465,0,2,5909
9,1,Course3,2,1,40885491,40893109,0,0,7618
9,1,Course3,3,1,40897733,40904413,0,4,6680
9,1,Course3,4,1,40908556,40914008,0,3,5452
9,1,Course3,5,1,40917258,40924093,0,2,6835
10,0,Course1,0,1,45688710,45692799,0,0,4089
10,0,Course1,1,1,45698484,45704068,0,1,5584
10,0,Course1,2,1,45712010,45717025,0,0,5015
10,0,Course1,3,1,45722621,45727725,0,0,5104
10,0,Course1,4,1,45732842,45737912,0,0,5070
10,0,Course1,5,1,45743843,45747854,0,0,4011
10,0,Course2,0,1,45753483,45762352,0,3,8869
10,0,Course2,1,1,45768071,45779107,0,2,11036
10,0,Course2,2,1,45783875,45795335,0,2,11460
10,0,Course2,3,1,45799782,45810348,0,1,10566
10,0,Course2,4,1,45814537,45823539,0,0,9002
10,0,Course2,5,1,45828487,45837490,0,0,9003
10,0,Course3,0,1,45843599,45860946,0,6,17347
10,0,Course3,1,1,45867323,45882514,0,2,15191
10,0,Course3,2,1,45887400,45903312,0,3,15912
10,0,Course3,3,1,45907858,45926064,1,9,18206
10,0,Course3,4,1,45929952,45942517,0,6,12565
10,0,Course3,5,1,45946706,45956725,0,3,10019
10,0,Course1_VF,0,1,46783712,46787542,0,0,3830
10,0,Course1_VF,1,1,46791854,46796489,0,0,4635
10,0,Course1_VF,2,1,46800253,46805269,0,0,5016
10,0,Course1_VF,3,1,46809234,46813780,0,0,4546
10,0,Course1_VF,4,1,46818705,46824548,0,0,5843
10,0,Course1_VF,5,1,46828937,46833461,0,0,4524
10,0,Course2_VF,0,1,46837460,46848641,0,1,11181
10,0,Course2_VF,1,1,46851824,46861865,0,0,10041
10,0,Course2_VF,2,1,46865015,46873918,0,0,8903
10,0,Course2_VF,3,1,46876654,46883311,0,0,6657
10,0,Course2_VF,4,1,46886327,46892437,0,1,6110
10,0,Course2_VF,5,1,46895664,46902008,0,0,6344
10,0,Course3_VF,0,1,46906387,46920718,0,3,14331
10,0,Course3_VF,1,1,46924716,46942789,1,6,18073
10,0,Course3_VF,2,1,46946530,46962269,0,2,15739
10,0,Course3_VF,3,1,46966391,46981525,0,0,15134
10,0,Course3_VF,4,1,46985100,46998313,0,1,13213
10,0,Course3_VF,5,1,47002055,47017413,0,9,15358
11,1,Course1_VF,0,1,51766705,51769575,0,0,2870
11,1,Course1_VF,1,1,51775117,51778198,0,0,3081
